"There's no customer registered under %s.","Não há cliente registrado com o e-mail %s."
"Notify the user if the e-mail doesn't exists","Notificar o usuário se o e-mail não existir"
"Show notice if e-mail doesn't exist","Exibir aviso se o e-mail não existir"
"Yes","Sim"
